,DBWT
639,3040
640,3742
641,2360
642,3260
643,3629
644,4380
645,2470
646,3487
647,3005
648,3345
649,3230
650,3629
651,3695
652,2693
653,3160
654,4054
655,3860
656,3030
657,2438
658,3572
659,2535
660,2730
661,2466
662,3185
663,4145
664,3430
665,3374
666,3657
667,3770
668,3997
669,3715
670,3850
671,3410
672,3147
673,3075
674,3147
675,3686
676,2778
677,3540
678,3140
679,3650
680,3378
681,3232
682,1191
683,3090
684,4070
685,4196
686,3720
687,4050
688,3460
689,3310
690,3544
691,4015
692,2820
693,3160
694,3820
695,3650
696,3511
697,3875
698,2210
699,3400
700,3518
701,3730
702,2100
703,3629
704,3680
705,2635
706,3090
707,3856
708,3515
709,3140
710,3912
711,3681
712,2870
713,3185
714,3199
715,3215
716,2438
717,2643
718,1910
719,3050
720,3980
721,4500
722,3385
723,2995
724,3565
725,3232
726,2820
727,3572
728,3377
729,3147
730,3680
731,3110
732,3635
733,2551
734,3030
735,3040
736,3317
737,2930
738,2183
739,3033
740,3558
741,2986
742,3374
743,3090
744,2693
745,3320
746,2807
747,3791
748,2757
749,3410
750,1460
751,3005
752,2807
753,3360
754,3365
755,2665
756,3487
757,2977
758,3025
759,2830
760,3680
761,3955
762,3827
763,3150
764,3070
765,2920
766,3145
767,3135
768,3402
769,3539
770,1770
771,3402
772,2945
773,3340
774,3485
775,1820
776,2695
777,3880
778,3118
779,2529
780,4289
781,3686
782,3455
783,3562
784,2875
785,2214
786,2466
787,2960
788,3941
789,3580
790,3856
791,3070
792,3300
793,4240
794,2900
795,3232
796,3544
797,3830
798,4196
799,3370
800,2910
801,1905
802,3742
803,3700
804,2438
805,3827
806,3380
807,2801
808,2935
809,3799
810,1735
811,3525
812,2930
813,4060
814,3315
815,3932
816,3490
817,2610
818,2268
819,3000
820,2126
821,3320
822,2523
823,1650
824,3750
825,3629
826,3430
827,3157
828,2628
829,3912
830,4224
831,3822
832,2379
833,2637
834,3170
835,3005
836,2560
837,4055
838,3170
839,4130
840,2722
841,3430
842,3527
843,3204
844,2041
845,3740
846,2977
847,2807
848,3435
849,3600
850,2183
851,2920
852,3368
853,3070
854,3685
855,3600
856,2170
857,3710
858,1630
859,3320
860,3401
861,4309
862,3997
863,3190
864,3629
865,1070
866,2510
867,3390
868,3374
869,3765
870,790
871,3290
872,3980
873,3530
874,4320
875,2410
876,2800
877,2780
878,3680
879,2240
880,3600
881,3317
882,3204
883,3090
884,3205
885,1600
886,3430
887,2220
888,2840
889,3230
890,3680
891,3506
892,3075
893,4050
894,2680
895,3572
896,3039
897,2495
898,3686
899,2664
900,2810
901,3565
902,3374
903,2466
904,4130
905,2090
906,4054
907,3423
908,2855
909,2795
910,3330
911,3452
912,3657
913,3990
914,2729
915,3200
916,3175
917,2840
918,3635
919,4720
920,3200
921,895
922,3515
923,3730
924,2980
925,3045
926,3487
927,3680
928,3544
929,3330
930,3790
931,4060
932,3570
933,3300
934,2590
935,3430
936,2895
937,2985
938,4309
939,2115
940,2860
941,3020
942,3629
943,3232
944,3595
945,3345
946,3200
947,3565
948,3860
949,3360
950,4111
951,3778
952,3140
953,3360
954,2745
955,2565
956,3742
957,3090
958,3260
959,3840
960,2870
961,3035
962,3203
963,2941
964,2830
965,2360
966,3235
967,4110
968,4113
969,3095
970,3225
971,3205
972,4090
973,3550
974,4023
975,3280
976,3315
977,2485
978,3975
979,3035
980,2715
981,4111
982,3715
983,3345
984,3235
985,2820
986,3880
987,3170
988,2815
989,3856
990,3545
991,2570
992,3260
993,4082
994,2949
995,2438
996,2555
997,3620
998,2886
999,3345
